t 1 jL0300
3.6700000e-002 -6.9224446e-001 6.9224446e-001
3.6800000e-002 -6.9155291e-001 6.9155291e-001
3.6900000e-002 -6.9086204e-001 6.9086204e-001
3.7000000e-002 -6.9017187e-001 6.9017187e-001
3.7100000e-002 -6.8948239e-001 6.8948239e-001
3.7200000e-002 -6.8879360e-001 6.8879360e-001
3.7300000e-002 -6.8810549e-001 6.8810549e-001
3.7400000e-002 -6.8741807e-001 6.8741807e-001
3.7500000e-002 -6.8673134e-001 6.8673134e-001
3.7600000e-002 -6.8604530e-001 6.8604530e-001
3.7700000e-002 -6.8535994e-001 6.8535994e-001
3.7800000e-002 -6.8467526e-001 6.8467526e-001
3.7900000e-002 -6.8399127e-001 6.8399127e-001
3.8000000e-002 -6.8330796e-001 6.8330796e-001
3.8100000e-002 -6.8262534e-001 6.8262534e-001
3.8200000e-002 -6.8194339e-001 6.8194339e-001
3.8300000e-002 -6.8126213e-001 6.8126213e-001
3.8400000e-002 -6.8058155e-001 6.8058155e-001
3.8500000e-002 -6.7990165e-001 6.7990165e-001
3.8600000e-002 -6.7922242e-001 6.7922242e-001
3.8700000e-002 -6.7854388e-001 6.7854388e-001
3.8800000e-002 -6.7786601e-001 6.7786601e-001
3.8900000e-002 -6.7718883e-001 6.7718883e-001
3.9000000e-002 -6.7651231e-001 6.7651231e-001
3.9100000e-002 -6.7583648e-001 6.7583648e-001
3.9200000e-002 -6.7516132e-001 6.7516132e-001
3.9300000e-002 -6.7448683e-001 6.7448683e-001
3.9400000e-002 -6.7381302e-001 6.7381302e-001
3.9500000e-002 -6.7313988e-001 6.7313988e-001
3.9600000e-002 -6.7246741e-001 6.7246741e-001
3.9700000e-002 -6.7179561e-001 6.7179561e-001
3.9800000e-002 -6.7112449e-001 6.7112449e-001
3.9900000e-002 -6.7045403e-001 6.7045403e-001
4.0000000e-002 -6.6978425e-001 6.6978425e-001
4.0100000e-002 -6.6911513e-001 6.6911513e-001
4.0200000e-002 -6.6844669e-001 6.6844669e-001
4.0300000e-002 -6.6777891e-001 6.6777891e-001
4.0400000e-002 -6.6711180e-001 6.6711180e-001
4.0500000e-002 -6.6644535e-001 6.6644535e-001
4.0600000e-002 -6.6577957e-001 6.6577957e-001
4.0700000e-002 -6.6511446e-001 6.6511446e-001
4.0800000e-002 -6.6445001e-001 6.6445001e-001
4.0900000e-002 -6.6378622e-001 6.6378622e-001
4.1000000e-002 -6.6312310e-001 6.6312310e-001
4.1100000e-002 -6.6246064e-001 6.6246064e-001
4.1200000e-002 -6.6179884e-001 6.6179884e-001
4.1300000e-002 -6.6113770e-001 6.6113770e-001
4.1400000e-002 -6.6047722e-001 6.6047722e-001
4.1500000e-002 -6.5981741e-001 6.5981741e-001
4.1600000e-002 -6.5915825e-001 6.5915825e-001
4.1700000e-002 -6.5849975e-001 6.5849975e-001
4.1800000e-002 -6.5784191e-001 6.5784191e-001
4.1900000e-002 -6.5718472e-001 6.5718472e-001
4.2000000e-002 -6.5652819e-001 6.5652819e-001
4.2100000e-002 -6.5587232e-001 6.5587232e-001
4.2200000e-002 -6.5521710e-001 6.5521710e-001
4.2300000e-002 -6.5456254e-001 6.5456254e-001
4.2400000e-002 -6.5390863e-001 6.5390863e-001
4.2500000e-002 -6.5325538e-001 6.5325538e-001
4.2600000e-002 -6.5260278e-001 6.5260278e-001
4.2700000e-002 -6.5195082e-001 6.5195082e-001
4.2800000e-002 -6.5129952e-001 6.5129952e-001
4.2900000e-002 -6.5064888e-001 6.5064888e-001
4.3000000e-002 -6.4999888e-001 6.4999888e-001
4.3100000e-002 -6.4934953e-001 6.4934953e-001
4.3200000e-002 -6.4870083e-001 6.4870083e-001
4.3300000e-002 -6.4805277e-001 6.4805277e-001
4.3400000e-002 -6.4740537e-001 6.4740537e-001
4.3500000e-002 -6.4675861e-001 6.4675861e-001
4.3600000e-002 -6.4611250e-001 6.4611250e-001
4.3700000e-002 -6.4546703e-001 6.4546703e-001
4.3800000e-002 -6.4482221e-001 6.4482221e-001
4.3900000e-002 -6.4417803e-001 6.4417803e-001
4.4000000e-002 -6.4353450e-001 6.4353450e-001
4.4100000e-002 -6.4289160e-001 6.4289160e-001
4.4200000e-002 -6.4224935e-001 6.4224935e-001
4.4300000e-002 -6.4160775e-001 6.4160775e-001
4.4400000e-002 -6.4096678e-001 6.4096678e-001
4.4500000e-002 -6.4032645e-001 6.4032645e-001
4.4600000e-002 -6.3968677e-001 6.3968677e-001
4.4700000e-002 -6.3904772e-001 6.3904772e-001
4.4800000e-002 -6.3840931e-001 6.3840931e-001
4.4900000e-002 -6.3777154e-001 6.3777154e-001
4.5000000e-002 -6.3713440e-001 6.3713440e-001
4.5100000e-002 -6.3649791e-001 6.3649791e-001
4.5200000e-002 -6.3586204e-001 6.3586204e-001
4.5300000e-002 -6.3522682e-001 6.3522682e-001
4.5400000e-002 -6.3459223e-001 6.3459223e-001
4.5500000e-002 -6.3395827e-001 6.3395827e-001
4.5600000e-002 -6.3332494e-001 6.3332494e-001
4.5700000e-002 -6.3269225e-001 6.3269225e-001
4.5800000e-002 -6.3206019e-001 6.3206019e-001
4.5900000e-002 -6.3142876e-001 6.3142876e-001
4.6000000e-002 -6.3079796e-001 6.3079796e-001
4.6100000e-002 -6.3016779e-001 6.3016779e-001
4.6200000e-002 -6.2953826e-001 6.2953826e-001
4.6300000e-002 -6.2890935e-001 6.2890935e-001
4.6400000e-002 -6.2828107e-001 6.2828107e-001
4.6500000e-002 -6.2765341e-001 6.2765341e-001
4.6600000e-002 -6.2702639e-001 6.2702639e-001
4.6700000e-002 -6.2639999e-001 6.2639999e-001
4.6800000e-002 -6.2577421e-001 6.2577421e-001
4.6900000e-002 -6.2514906e-001 6.2514906e-001
4.7000000e-002 -6.2452454e-001 6.2452454e-001
4.7100000e-002 -6.2390064e-001 6.2390064e-001
4.7200000e-002 -6.2327736e-001 6.2327736e-001
4.7300000e-002 -6.2265471e-001 6.2265471e-001
4.7400000e-002 -6.2203267e-001 6.2203267e-001
4.7500000e-002 -6.2141126e-001 6.2141126e-001
4.7600000e-002 -6.2079047e-001 6.2079047e-001
4.7700000e-002 -6.2017030e-001 6.2017030e-001
4.7800000e-002 -6.1955075e-001 6.1955075e-001
4.7900000e-002 -6.1893182e-001 6.1893182e-001
4.8000000e-002 -6.1831351e-001 6.1831351e-001
4.8100000e-002 -6.1769581e-001 6.1769581e-001
4.8200000e-002 -6.1707873e-001 6.1707873e-001
4.8300000e-002 -6.1646227e-001 6.1646227e-001
4.8400000e-002 -6.1584642e-001 6.1584642e-001
4.8500000e-002 -6.1523119e-001 6.1523119e-001
4.8600000e-002 -6.1461657e-001 6.1461657e-001
4.8700000e-002 -6.1400257e-001 6.1400257e-001
4.8800000e-002 -6.1338918e-001 6.1338918e-001
4.8900000e-002 -6.1277641e-001 6.1277641e-001
4.9000000e-002 -6.1216424e-001 6.1216424e-001
4.9100000e-002 -6.1155269e-001 6.1155269e-001
4.9200000e-002 -6.1094175e-001 6.1094175e-001
4.9300000e-002 -6.1033142e-001 6.1033142e-001
4.9400000e-002 -6.0972169e-001 6.0972169e-001
4.9500000e-002 -6.0911258e-001 6.0911258e-001
4.9600000e-002 -6.0850408e-001 6.0850408e-001
4.9700000e-002 -6.0789618e-001 6.0789618e-001
