t 1 2 3 4 5 6 7 8 jV0100 
2.49e-07 0 4.99858 0 4.99997 2.53904e-05 4.99997 5 1.55275e-09 0
2.5e-07 0 4.99862 0 4.99997 2.41813e-05 4.99997 5 1.41159e-09 0
2.51e-07 0 4.99867 0 4.99998 2.30298e-05 4.99998 5 1.28326e-09 0
2.52e-07 0 4.99871 0 4.99998 2.19332e-05 4.99998 5 1.1666e-09 0
2.53e-07 0 4.99875 0 4.99998 2.08887e-05 4.99998 5 1.06055e-09 0
2.54e-07 0 4.99879 0 4.99998 1.9894e-05 4.99998 5 9.64134e-10 0
2.55e-07 0 4.99883 0 4.99998 1.89467e-05 4.99998 5 8.76486e-10 0
2.56e-07 0 4.99887 0 4.99998 1.80445e-05 4.99998 5 7.96805e-10 0
2.57e-07 0 4.99891 0 4.99998 1.71852e-05 4.99998 5 7.24368e-10 0
2.58e-07 0 4.99894 0 4.99998 1.63669e-05 4.99998 5 6.58517e-10 0
2.59e-07 0 4.99898 0 4.99998 1.55875e-05 4.99998 5 5.98651e-10 0
2.6e-07 0 4.99901 0 4.99998 1.48452e-05 4.99998 5 5.44229e-10 0
2.61e-07 0 4.99904 0 4.99999 1.41383e-05 4.99998 5 4.94753e-10 0
2.62e-07 0 4.99907 0 4.99999 1.34651e-05 4.99999 5 4.49776e-10 0
2.63e-07 0 4.9991 0 4.99999 1.28239e-05 4.99999 5 4.08887e-10 0
2.64e-07 0 4.99913 0 4.99999 1.22132e-05 4.99999 5 3.71715e-10 0
2.65e-07 0 4.99916 0 4.99999 1.16316e-05 4.99999 5 3.37923e-10 0
2.66e-07 0 4.99919 0 4.99999 1.10777e-05 4.99999 5 3.07203e-10 0
2.67e-07 0 4.99921 0 4.99999 1.05502e-05 4.99999 5 2.79275e-10 0
2.68e-07 0 4.99924 0 4.99999 1.00478e-05 4.99999 5 2.53887e-10 0
2.69e-07 0 4.99926 0 4.99999 9.56937e-06 4.99999 5 2.30806e-10 0
2.7e-07 0 4.99929 0 4.99999 9.11369e-06 4.99999 5 2.09824e-10 0
2.71e-07 0 4.99931 0 4.99999 8.6797e-06 4.99999 5 1.90749e-10 0
2.72e-07 0 4.99933 0 4.99999 8.26638e-06 4.99999 5 1.73408e-10 0
2.73e-07 0 4.99935 0 4.99999 7.87275e-06 4.99999 5 1.57644e-10 0
2.74e-07 0 4.99937 0 4.99999 7.49785e-06 4.99999 5 1.43312e-10 0
2.75e-07 0 4.99939 0 4.99999 7.14081e-06 4.99999 5 1.30284e-10 0
2.76e-07 0 4.99941 0 4.99999 6.80077e-06 4.99999 5 1.1844e-10 0
2.77e-07 0 4.99943 0 4.99999 6.47693e-06 4.99999 5 1.07673e-10 0
2.78e-07 0 4.99945 0 4.99999 6.1685e-06 4.99999 5 9.78843e-11 0
2.79e-07 0 4.99947 0 4.99999 5.87476e-06 4.99999 5 8.89857e-11 0
2.8e-07 0 4.99949 0 4.99999 5.59501e-06 4.99999 5 8.08961e-11 0
2.81e-07 0 4.9995 0 4.99999 5.32859e-06 4.99999 5 7.35419e-11 0
2.82e-07 0 4.99952 0 4.99999 5.07484e-06 4.99999 5 6.68563e-11 0
2.83e-07 0 4.99953 0 4.99999 4.83318e-06 4.99999 5 6.07785e-11 0
2.84e-07 0 4.99955 0 5 4.60303e-06 5 5 5.52531e-11 0
2.85e-07 0 4.99956 0 5 4.38384e-06 5 5 5.02301e-11 0
2.86e-07 0 4.99958 0 5 4.17509e-06 5 5 4.56637e-11 0
2.87e-07 0 4.99959 0 5 3.97627e-06 5 5 4.15125e-11 0
2.88e-07 0 4.9996 0 5 3.78693e-06 5 5 3.77386e-11 0
2.89e-07 0 4.99962 0 5 3.6066e-06 5 5 3.43079e-11 0
2.9e-07 0 4.99963 0 5 3.43485e-06 5 5 3.1189e-11 0
2.91e-07 0 4.99964 0 5 3.27129e-06 5 5 2.83536e-11 0
2.92e-07 0 4.99965 0 5 3.11551e-06 5 5 2.5776e-11 0
2.93e-07 0 4.99966 0 5 2.96716e-06 5 5 2.34327e-11 0
2.94e-07 0 4.99967 0 5 2.82586e-06 5 5 2.13025e-11 0
2.95e-07 0 4.99969 0 5 2.6913e-06 5 5 1.93659e-11 0
2.96e-07 0 4.9997 0 5 2.56314e-06 5 5 1.76054e-11 0
2.97e-07 0 4.99971 0 5 2.44109e-06 5 5 1.60049e-11 0
2.98e-07 0 4.99971 0 5 2.32484e-06 5 5 1.45499e-11 0
2.99e-07 0 4.99972 0 5 2.21414e-06 5 5 1.32272e-11 0
3e-07 0 4.99973 0 5 2.1087e-06 5 5 1.20247e-11 0
3.01e-07 0 4.99974 0 5 2.00829e-06 5 5 1.09315e-11 0
3.02e-07 0 4.99975 0 5 1.91265e-06 5 5 9.93776e-12 0
3.03e-07 0 4.99976 0 5 1.82158e-06 5 5 9.03433e-12 0
3.04e-07 0 4.99977 0 5 1.73483e-06 5 5 8.21303e-12 0
3.05e-07 0 4.99977 0 5 1.65222e-06 5 5 7.46639e-12 0
3.06e-07 0 4.99978 0 5 1.57355e-06 5 5 6.78763e-12 0
3.07e-07 0 4.99979 0 5 1.49862e-06 5 5 6.17057e-12 0
3.08e-07 0 4.99979 0 5 1.42725e-06 5 5 5.60961e-12 0
3.09e-07 0 4.9998 0 5 1.35929e-06 5 5 5.09964e-12 0
3.1e-07 0 4.99981 0 5 1.29456e-06 5 5 4.63604e-12 0
3.11e-07 0 4.99981 0 5 1.23291e-06 5 5 4.21458e-12 0
3.12e-07 0 4.99982 0 5 1.1742e-06 5 5 3.83144e-12 0
3.13e-07 0 4.99983 0 5 1.11829e-06 5 5 3.48313e-12 0
3.14e-07 0 4.99983 0 5 1.06504e-06 5 5 3.16648e-12 0
