t 1 2 3 4 5 6 7 8 9 10 jV0700 
0.00789 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 5 5 5 2.54695e-41 0
0.00792 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 5 5 5 1.69684e-44 0
0.00795 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 5 5 5 1.13047e-47 0
0.00798 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 5 5 5 7.53146e-51 0
0.00801 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 0 5 5 5.01763e-54 0
0.00804 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 0 5 5 3.34286e-57 0
0.00807 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 0 5 5 2.22709e-60 0
0.0081 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 0 5 5 1.48373e-63 0
0.00813 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 0 5 5 9.88497e-67 0
0.00816 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 0 5 5 6.58559e-70 0
0.00819 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 0 5 5 4.38747e-73 0
0.00822 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 0 5 5 2.92303e-76 0
0.00825 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 0 5 5 1.94739e-79 0
0.00828 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 0 5 5 1.29739e-82 0
0.00831 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 0 5 5 8.64353e-86 0
0.00834 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 0 5 5 5.75852e-89 0
0.00837 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 0 5 5 3.83645e-92 0
0.0084 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 0 5 5 2.55593e-95 0
0.00843 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 0 5 5 1.70282e-98 0
0.00846 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 0 5 5 1.13446e-101 0
0.00849 2.66589 4.99767 0.00133228 0.000666306 0.000333195 5 0 5 5 7.558e-105 0
0.00852 2.99942 4.998 0.00149896 0.000749667 4.99975 0.00333111 5 5 5 5.03531e-108 0
0.00855 2.99942 4.998 0.00149896 0.000749667 4.99975 2.21926e-06 5 5 5 3.35464e-111 0
0.00858 2.99942 4.998 0.00149896 0.000749667 4.99975 1.47852e-09 5 5 5 2.23494e-114 0
0.00861 2.99942 4.998 0.00149896 0.000749667 4.99975 9.85025e-13 5 5 5 1.48896e-117 0
0.00864 2.99942 4.998 0.00149896 0.000749667 4.99975 6.56246e-16 5 5 5 9.91982e-121 0
0.00867 2.99942 4.998 0.00149896 0.000749667 4.99975 4.37206e-19 5 5 5 6.60881e-124 0
0.0087 2.99942 4.998 0.00149896 0.000749667 4.99975 2.91276e-22 5 5 5 4.40294e-127 0
0.00873 2.99942 4.998 0.00149896 0.000749667 4.99975 1.94055e-25 5 5 5 2.93333e-130 0
0.00876 2.99942 4.998 0.00149896 0.000749667 4.99975 1.29284e-28 5 5 5 1.95425e-133 0
0.00879 2.99942 4.998 0.00149896 0.000749667 4.99975 8.61317e-32 5 5 5 1.30197e-136 0
0.00882 2.99942 4.998 0.00149896 0.000749667 4.99975 5.73829e-35 5 5 5 8.674e-140 0
0.00885 2.99942 4.998 0.00149896 0.000749667 4.99975 3.82298e-38 5 5 5 5.77882e-143 0
0.00888 2.99942 4.998 0.00149896 0.000749667 4.99975 2.54695e-41 5 5 5 3.84998e-146 0
0.00891 2.99942 4.998 0.00149896 0.000749667 4.99975 1.69684e-44 5 5 5 2.56494e-149 0
0.00894 2.99942 4.998 0.00149896 0.000749667 4.99975 1.13047e-47 5 5 5 1.70882e-152 0
0.00897 2.99942 4.998 0.00149896 0.000749667 4.99975 7.53146e-51 5 5 5 1.13846e-155 0
0.009 2.99942 4.998 0.00149896 0.000749667 4.99975 5.01763e-54 5 5 5 7.58465e-159 0
0.00903 2.99942 4.998 0.00149896 0.000749667 4.99975 3.34286e-57 0 5 5 5.05306e-162 0
0.00906 2.99942 4.998 0.00149896 0.000749667 4.99975 2.22709e-60 0 5 5 3.36646e-165 0
0.00909 2.99942 4.998 0.00149896 0.000749667 4.99975 1.48373e-63 0 5 5 2.24281e-168 0
0.00912 2.99942 4.998 0.00149896 0.000749667 4.99975 9.88497e-67 0 5 5 1.49421e-171 0
0.00915 2.99942 4.998 0.00149896 0.000749667 4.99975 6.58559e-70 0 5 5 9.95479e-175 0
0.00918 2.99942 4.998 0.00149896 0.000749667 4.99975 4.38747e-73 0 5 5 6.6321e-178 0
0.00921 2.99942 4.998 0.00149896 0.000749667 4.99975 2.92303e-76 0 5 5 4.41846e-181 0
0.00924 2.99942 4.998 0.00149896 0.000749667 4.99975 1.94739e-79 0 5 5 2.94367e-184 0
0.00927 2.99942 4.998 0.00149896 0.000749667 4.99975 1.29739e-82 0 5 5 1.96114e-187 0
0.0093 2.99942 4.998 0.00149896 0.000749667 4.99975 8.64353e-86 0 5 5 1.30656e-190 0
0.00933 2.99942 4.998 0.00149896 0.000749667 4.99975 5.75852e-89 0 5 5 8.70458e-194 0
0.00936 2.99942 4.998 0.00149896 0.000749667 4.99975 3.83645e-92 0 5 5 5.79919e-197 0
0.00939 2.99942 4.998 0.00149896 0.000749667 4.99975 2.55593e-95 0 5 5 3.86355e-200 0
0.00942 2.99942 4.998 0.00149896 0.000749667 4.99975 1.70282e-98 0 5 5 2.57398e-203 0
0.00945 2.99942 4.998 0.00149896 0.000749667 4.99975 1.13446e-101 0 5 5 1.71485e-206 0
0.00948 2.99942 4.998 0.00149896 0.000749667 4.99975 7.558e-105 0 5 5 1.14247e-209 0
0.00951 3.33286 4.99833 0.0016656 4.99958 0.000416556 4.99667 5 0.00333111 5 7.61138e-213 0
0.00954 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 5 2.21926e-06 5 5.07088e-216 0
0.00957 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 5 1.47852e-09 5 3.37833e-219 0
0.0096 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 5 9.85025e-13 5 2.25072e-222 0
0.00963 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 5 6.56246e-16 5 1.49948e-225 0
0.00966 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 5 4.37206e-19 5 9.98988e-229 0
0.00969 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 5 2.91276e-22 5 6.65548e-232 0
0.00972 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 5 1.94055e-25 5 4.43403e-235 0
0.00975 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 5 1.29284e-28 5 2.95405e-238 0
0.00978 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 5 8.61317e-32 5 1.96806e-241 0
0.00981 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 5 5.73829e-35 5 1.31116e-244 0
0.00984 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 5 3.82298e-38 5 8.73526e-248 0
0.00987 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 5 2.54695e-41 5 5.81963e-251 0
0.0099 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 5 1.69684e-44 5 3.87717e-254 0
0.00993 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 5 1.13047e-47 5 2.58306e-257 0
0.00996 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 5 7.53146e-51 5 1.72089e-260 0
