t 1 2 3 4 5 6 7 
4.05e-08 0.368182 0 4.33669 5 0 5 0
4.06e-08 0.369091 0 4.33999 5 0 5 0
4.07e-08 0.37 0 4.34328 5 0 5 0
4.08e-08 0.370909 0 4.34654 5 0 5 0
4.09e-08 0.371818 0 4.34979 5 0 5 0
4.1e-08 0.372727 0 4.35303 5 0 5 0
4.11e-08 0.373636 0 4.35625 5 0 5 0
4.12e-08 0.374545 0 4.35945 5 0 5 0
4.13e-08 0.375455 0 4.36264 5 0 5 0
4.14e-08 0.376364 0 4.36581 5 0 5 0
4.15e-08 0.377273 0 4.36896 5 0 5 0
4.16e-08 0.378182 0 4.3721 5 0 5 0
4.17e-08 0.379091 0 4.37523 5 0 5 0
4.18e-08 0.38 0 4.37834 5 0 5 0
4.19e-08 0.380909 0 4.38143 5 0 5 0
4.2e-08 0.381818 0 4.38451 5 0 5 0
4.21e-08 0.382727 0 4.38757 5 0 5 0
4.22e-08 0.383636 0 4.39061 5 0 5 0
4.23e-08 0.384545 0 4.39365 5 0 5 0
4.24e-08 0.385455 0 4.39666 5 0 5 0
4.25e-08 0.386364 0 4.39966 5 0 5 0
4.26e-08 0.387273 0 4.40265 5 0 5 0
4.27e-08 0.388182 0 4.40562 5 0 5 0
4.28e-08 0.389091 0 4.40858 5 0 5 0
4.29e-08 0.39 0 4.41152 5 0 5 0
4.3e-08 0.390909 0 4.41445 5 0 5 0
4.31e-08 0.391818 0 4.41736 5 0 5 0
4.32e-08 0.392727 0 4.42026 5 0 5 0
4.33e-08 0.393636 0 4.42315 5 0 5 0
4.34e-08 0.394545 0 4.42602 5 0 5 0
4.35e-08 0.395455 0 4.42887 5 0 5 0
4.36e-08 0.396364 0 4.43171 5 0 5 0
4.37e-08 0.397273 0 4.43454 5 0 5 0
4.38e-08 0.398182 0 4.43735 5 0 5 0
4.39e-08 0.399091 0 4.44015 5 0 5 0
4.4e-08 0.4 0 4.44294 5 0 5 0
4.41e-08 0.400909 0 4.44571 5 0 5 0
4.42e-08 0.401818 0 4.44847 5 0 5 0
4.43e-08 0.402727 0 4.45121 5 0 5 0
4.44e-08 0.403636 0 4.45394 5 0 5 0
4.45e-08 0.404545 0 4.45666 5 0 5 0
4.46e-08 0.405455 0 4.45936 5 0 5 0
4.47e-08 0.406364 0 4.46205 5 0 5 0
4.48e-08 0.407273 0 4.46473 5 0 5 0
4.49e-08 0.408182 0 4.46739 5 0 5 0
4.5e-08 0.409091 0 4.47004 5 0 5 0
4.51e-08 0.41 0 4.47268 5 0 5 0
4.52e-08 0.410909 0 4.4753 5 0 5 0
4.53e-08 0.411818 0 4.47791 5 0 5 0
4.54e-08 0.412727 0 4.48051 5 0 5 0
4.55e-08 0.413636 0 4.48309 5 0 5 0
4.56e-08 0.414545 0 4.48567 5 0 5 0
4.57e-08 0.415455 0 4.48822 5 0 5 0
4.58e-08 0.416364 0 4.49077 5 0 5 0
4.59e-08 0.417273 0 4.4933 5 0 5 0
4.6e-08 0.418182 0 4.49582 5 0 5 0
4.61e-08 0.419091 0 4.49833 5 0 5 0
4.62e-08 0.42 0 4.50083 5 0 5 0
4.63e-08 0.420909 0 4.50331 5 0 5 0
4.64e-08 0.421818 0 4.50578 5 0 5 0
4.65e-08 0.422727 0 4.50824 5 0 5 0
4.66e-08 0.423636 0 4.51069 5 0 5 0
4.67e-08 0.424545 0 4.51312 5 0 5 0
4.68e-08 0.425455 0 4.51555 5 0 5 0
4.69e-08 0.426364 0 4.51796 5 0 5 0
4.7e-08 0.427273 0 4.52035 5 0 5 0
4.71e-08 0.428182 0 4.52274 5 0 5 0
4.72e-08 0.429091 0 4.52511 5 0 5 0
4.73e-08 0.43 0 4.52748 5 0 5 0
4.74e-08 0.430909 0 4.52983 5 0 5 0
4.75e-08 0.431818 0 4.53217 5 0 5 0
4.76e-08 0.432727 0 4.53449 5 0 5 0
4.77e-08 0.433636 0 4.53681 5 0 5 0
4.78e-08 0.434545 0 4.53912 5 0 5 0
4.79e-08 0.435455 0 4.54141 5 0 5 0
4.8e-08 0.436364 0 4.54369 5 0 5 0
4.81e-08 0.437273 0 4.54596 5 0 5 0
4.82e-08 0.438182 0 4.54822 5 0 5 0
4.83e-08 0.439091 0 4.55047 5 0 5 0
4.84e-08 0.44 0 4.5527 5 0 5 0
4.85e-08 0.440909 0 4.55493 5 0 5 0
4.86e-08 0.441818 0 4.55714 5 0 5 0
4.87e-08 0.442727 0 4.55935 5 0 5 0
4.88e-08 0.443636 0 4.56154 5 0 5 0
4.89e-08 0.444545 0 4.56372 5 0 5 0
4.9e-08 0.445455 0 4.56589 5 0 5 0
4.91e-08 0.446364 0 4.56805 5 0 5 0
4.92e-08 0.447273 0 4.5702 5 0 5 0
4.93e-08 0.448182 0 4.57234 5 0 5 0
4.94e-08 0.449091 0 4.57446 5 0 5 0
4.95e-08 0.45 0 4.57658 5 0 5 0
4.96e-08 0.450909 0 4.57869 5 0 5 0
4.97e-08 0.451818 0 4.58078 5 0 5 0
4.98e-08 0.452727 0 4.58287 5 0 5 0
4.99e-08 0.453636 0 4.58495 5 0 5 0
5e-08 0.454545 0 4.58701 5 0 5 0
5.01e-08 0.455455 0 4.58907 5 0 5 0
5.02e-08 0.456364 0 4.59111 5 0 5 0
5.03e-08 0.457273 0 4.59314 5 0 5 0
5.04e-08 0.458182 0 4.59517 5 0 5 0
5.05e-08 0.459091 0 4.59718 5 0 5 0
5.06e-08 0.46 0 4.59919 5 0 5 0
5.07e-08 0.460909 0 4.60118 5 0 5 0
5.08e-08 0.461818 0 4.60316 5 0 5 0
5.09e-08 0.462727 0 4.60514 5 0 5 0
5.1e-08 0.463636 0 4.6071 5 0 5 0
5.11e-08 0.464545 0 4.60906 5 0 5 0
5.12e-08 0.465455 0 4.611 5 0 5 0
5.13e-08 0.466364 0 4.61294 5 0 5 0
