t 1 2 3 4 5 6 7 jV0700 
2.28e-08 3.32246 0.158212 3.25733 0.296121 5 3.05914 5 0
2.29e-08 3.33002 0.158572 3.26452 0.296775 5 3.04392 5 0
2.3e-08 3.33753 0.15893 3.27168 0.297425 5 3.02877 5 0
2.31e-08 3.34501 0.159286 3.27879 0.298072 5 3.01371 5 0
2.32e-08 3.35245 0.159641 3.28587 0.298715 5 2.99871 5 0
2.33e-08 3.35985 0.159993 3.29291 0.299355 5 2.98379 5 0
2.34e-08 3.36721 0.160344 3.29991 0.299992 5 2.96895 5 0
2.35e-08 3.37454 0.160692 3.30687 0.300625 5 2.95418 5 0
2.36e-08 3.38182 0.161039 3.3138 0.301254 5 2.93948 5 0
2.37e-08 3.38907 0.161384 3.32068 0.30188 5 2.92486 5 0
2.38e-08 3.39628 0.161728 3.32753 0.302503 5 2.91031 5 0
2.39e-08 3.40345 0.162069 3.33435 0.303122 5 2.89583 5 0
2.4e-08 3.41059 0.162409 3.34112 0.303738 5 2.88142 5 0
2.41e-08 3.41769 0.162747 3.34786 0.304351 5 2.86708 5 0
2.42e-08 3.42475 0.163083 3.35456 0.30496 5 2.85282 5 0
2.43e-08 3.43177 0.163418 3.36123 0.305566 5 2.83863 5 0
2.44e-08 3.43876 0.16375 3.36786 0.306169 5 2.8245 5 0
2.45e-08 3.44571 0.164081 3.37445 0.306768 5 2.81045 5 0
2.46e-08 3.45262 0.164411 3.38101 0.307365 5 2.79647 5 0
2.47e-08 3.4595 0.164738 3.38753 0.307958 5 2.78256 5 0
2.48e-08 3.46635 0.165064 3.39402 0.308547 5 2.76871 5 0
2.49e-08 3.47315 0.165388 3.40047 0.309134 5 2.75494 5 0
2.5e-08 3.47993 0.165711 3.40689 0.309717 5 2.74123 5 0
2.51e-08 3.48666 0.166032 3.41327 0.310297 5 2.72759 5 0
2.52e-08 3.49336 0.166351 3.41962 0.310875 5 2.71402 5 0
2.53e-08 3.50003 0.166668 3.42593 0.311448 5 2.70052 5 0
2.54e-08 3.50666 0.166984 3.43221 0.312019 5 2.68709 5 0
2.55e-08 3.51326 0.167298 3.43846 0.312587 5 2.67372 5 0
2.56e-08 3.51982 0.167611 3.44467 0.313152 5 2.66042 5 0
2.57e-08 3.52635 0.167921 3.45084 0.313713 5 2.64718 5 0
2.58e-08 3.53284 0.168231 3.45699 0.314272 5 2.63401 5 0
2.59e-08 3.53931 0.168538 3.4631 0.314827 5 2.6209 5 0
2.6e-08 3.54573 0.168844 3.46918 0.31538 5 2.60787 5 0
2.61e-08 3.55213 0.169149 3.47522 0.315929 5 2.59489 5 0
